name,url,price_per_lb,total_price,bag_size,bag_type,country,region,altitude,grower,variety,process,flavor_notes,about,warehouse,position,certifications,is_staff_pick,inventory,overview_text,taste_text,source_text,word_cloud,sweetness,acidity,viscosity,balance,watchlist_match,watchlist_farm,watchlist_tier,watchlist_credential_type,watchlist_credential_detail,watchlist_notes,watchlist_url
Brazil Alta Mogiana SS FC 15/16,https://royalcoffee.com/product/3427097000053660157/,,$526.47,132.28 lb,Full Bag,Brazil,Altitude,900-1200 masl,Producers organized around cooperatives in the Mogiana Region,Various,Full natural and dried in the sun and mechanical driers,,"Regional DetailsAs the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  The Mogiana region, split between the states of São Paulo and Minas Gerais, is the most renowned of three major Brazilian growing regions.  This region has rolling hills and uneven terrain lending to farms that are small to medium in size.Processing DetailsProducers typically have farms that average 70 acres in size.  Each producer cultivates and harvests their own cherries and places them on patios or mechanical driers to precisely dry to 11 percent moisture.  Coffee is carefully stored until it is time for milling and export, which all takes place at the dry mill where traceability and quality control are carefully managed so each producer can be paid according to the quality of their coffee.  This lot's preparation is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,320 Bags,,,,,,,,,,,,,,,
Brazil Alta Mogiana SS FC 15/16,https://royalcoffee.com/product/3427097000052393650/,$6.87,$535.73,132.28 lb,Full Bag,Brazil,Altitude,900-1200 masl,Producers organized around cooperatives in the Mogiana Region,Various,Full natural and dried in the sun and mechanical driers,,"Regional DetailsAs the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  The Mogiana region, split between the states of São Paulo and Minas Gerais, is the most renowned of three major Brazilian growing regions.  This region has rolling hills and uneven terrain lending to farms that are small to medium in size.Processing DetailsProducers typically have farms that average 70 acres in size.  Each producer cultivates and harvests their own cherries and places them on patios or mechanical driers to precisely dry to 11 percent moisture.  Coffee is carefully stored until it is time for milling and export, which all takes place at the dry mill where traceability and quality control are carefully managed so each producer can be paid according to the quality of their coffee.  This lot's preparation is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,320 Bags,,,,,,,,,,,,,,,
Brazil Alta Mogiana SS FC 15/16,https://royalcoffee.com/product/3427097000052393655/,$6.87,$535.73,132.28 lb,Full Bag,Brazil,Altitude,900-1200 masl,Producers organized around cooperatives in the Mogiana Region,Various,Full natural and dried in the sun and mechanical driers,,"Regional DetailsAs the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  The Mogiana region, split between the states of São Paulo and Minas Gerais, is the most renowned of three major Brazilian growing regions.  This region has rolling hills and uneven terrain lending to farms that are small to medium in size.Processing DetailsProducers typically have farms that average 70 acres in size.  Each producer cultivates and harvests their own cherries and places them on patios or mechanical driers to precisely dry to 11 percent moisture.  Coffee is carefully stored until it is time for milling and export, which all takes place at the dry mill where traceability and quality control are carefully managed so each producer can be paid according to the quality of their coffee.  This lot's preparation is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,320 Bags,,,,,,,,,,,,,,,
Brazil Alta Mogiana SS FC 15/16,https://royalcoffee.com/product/3427097000052393660/,$6.87,$535.73,132.28 lb,Full Bag,Brazil,Altitude,900-1200 masl,Producers organized around cooperatives in the Mogiana Region,Various,Full natural and dried in the sun and mechanical driers,,"Regional DetailsAs the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  The Mogiana region, split between the states of São Paulo and Minas Gerais, is the most renowned of three major Brazilian growing regions.  This region has rolling hills and uneven terrain lending to farms that are small to medium in size.Processing DetailsProducers typically have farms that average 70 acres in size.  Each producer cultivates and harvests their own cherries and places them on patios or mechanical driers to precisely dry to 11 percent moisture.  Coffee is carefully stored until it is time for milling and export, which all takes place at the dry mill where traceability and quality control are carefully managed so each producer can be paid according to the quality of their coffee.  This lot's preparation is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,320 Bags,,,,,,,,,,,,,,,
Brazil Alta Mogiana SS FC 15/16,https://royalcoffee.com/product/3427097000052393665/,$6.87,$535.73,132.28 lb,Full Bag,Brazil,Altitude,900-1200 masl,Producers organized around cooperatives in the Mogiana Region,Various,Full natural and dried in the sun and mechanical driers,,"Regional DetailsAs the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  The Mogiana region, split between the states of São Paulo and Minas Gerais, is the most renowned of three major Brazilian growing regions.  This region has rolling hills and uneven terrain lending to farms that are small to medium in size.Processing DetailsProducers typically have farms that average 70 acres in size.  Each producer cultivates and harvests their own cherries and places them on patios or mechanical driers to precisely dry to 11 percent moisture.  Coffee is carefully stored until it is time for milling and export, which all takes place at the dry mill where traceability and quality control are carefully managed so each producer can be paid according to the quality of their coffee.  This lot's preparation is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,320 Bags,,,,,,,,,,,,,,,
Brazil Alta Mogiana SS FC 15/16,https://royalcoffee.com/product/3427097000052393670/,$6.87,$535.73,132.28 lb,Full Bag,Brazil,Altitude,900-1200 masl,Producers organized around cooperatives in the Mogiana Region,Various,Full natural and dried in the sun and mechanical driers,,"Regional DetailsAs the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  The Mogiana region, split between the states of São Paulo and Minas Gerais, is the most renowned of three major Brazilian growing regions.  This region has rolling hills and uneven terrain lending to farms that are small to medium in size.Processing DetailsProducers typically have farms that average 70 acres in size.  Each producer cultivates and harvests their own cherries and places them on patios or mechanical driers to precisely dry to 11 percent moisture.  Coffee is carefully stored until it is time for milling and export, which all takes place at the dry mill where traceability and quality control are carefully managed so each producer can be paid according to the quality of their coffee.  This lot's preparation is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,320 Bags,,,,,,,,,,,,,,,
Brazil Beneficio Pedra Blanca Natural Catucai 16+,https://royalcoffee.com/product/3427097000052275676/,$6.87,$642.88,132.28 lb,Full Bag,Brazil,"Pedralva municipality, Minas Gerais, Brazil",1275 masl,Pedra Branca coffee mill,Catucai,Natural and dried in the sun,,"Sourcing detailsMinas Gerais is the largest of the three major Brazilian growing regions with six micro-regions, which account for 50 percent of Brazil’s production.  From this volume of coffee, we have plucked a special treat traceable to the Carmo micro region, which is known for its rolling hills and uneven terrain lending to farms that are small to medium in size.  This lot comes from several small farms that deliver cherries to the Carmo Coffee's mill called Pedra Branca. Carmo Coffee is an export company, but running its own mill provides an opportunity to perfect processing innovations and offers producers a benefit of consistent processing options without having to invest in their own equipment.Processing detailsWhile producers focus on creating farm management innovations, the post harvest processing is taken care of at the Pedra Branca mill, where there is decades of processing knowhow. Selectively picked cherries are delivered to the mill where this yellow catucai was washed and floated to remove damaged and less dense seeds, then sealed in airtight barrels and macerated for 24 hours before the drying process begins. coffee is gently dried on raised beds to reduce moisture to 11 percent and then carefully stored until it is time for milling and export.Exporting detailsCarmo Coffee helps with many of the logistics of selling to the international market, like warehousing and preparing coffee for export. Carmo Coffee also takes on a role to have a social impact with a program called Cria Carmo, which funds educational opportunities for children between 7 and 17 years old in the Carmo region.",Oakland,SPOT,Conventional,,304 Bags,,,,,,,,,,,,,,,
Brazil Cerrado NY 2/3 SS FC 15/16,https://royalcoffee.com/product/3427097000052190770/,$5.21,$599.62,130.07 lb,Full Bag,Brazil,Altitude,850-1100 masl,Producers from the Cerrado Region,"Yellow Bourbon, Mundo Novo, and Obatã",Full natural and natural blended dried in the sun and mechanical driers,,"Brazil Cerrado NY 2/3 SS FC 15/16 is produced by farmers belonging to cooperatives in the Cerrado region within the state of Minas Gerais, Brazil. The Cerrado region, the newest of three major Brazilian growing regions, has been building in reputation and production over the last few decades. Coffee in this region is grown on high plateaus at elevations peaking just over 1,000 meters above sea level. The region also has relatively mild weather patterns providing a more predicable climate for processing coffee.  As the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  Our current offering is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Seattle,SPOT,Conventional,,325 Bags,,,,,,,,,,,,,,,
Brazil Cerrado NY 2/3 SS FC 15/16,https://royalcoffee.com/product/3427097000052190922/,$6.87,$594.42,130.07 lb,Full Bag,Brazil,Altitude,850-1100 masl,Producers from the Cerrado Region,"Yellow Bourbon, Mundo Novo, and Obatã",Full natural and natural blended dried in the sun and mechanical driers,,"Brazil Cerrado NY 2/3 SS FC 15/16 is produced by farmers belonging to cooperatives in the Cerrado region within the state of Minas Gerais, Brazil. The Cerrado region, the newest of three major Brazilian growing regions, has been building in reputation and production over the last few decades. Coffee in this region is grown on high plateaus at elevations peaking just over 1,000 meters above sea level. The region also has relatively mild weather patterns providing a more predicable climate for processing coffee.  As the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  Our current offering is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,325 Bags,,,,,,,,,,,,,,,
Brazil Cerrado NY 2/3 SS FC 15/16,https://royalcoffee.com/product/3427097000052190925/,$6.87,$594.42,130.07 lb,Full Bag,Brazil,Altitude,850-1100 masl,Producers from the Cerrado Region,"Yellow Bourbon, Mundo Novo, and Obatã",Full natural and natural blended dried in the sun and mechanical driers,,"Brazil Cerrado NY 2/3 SS FC 15/16 is produced by farmers belonging to cooperatives in the Cerrado region within the state of Minas Gerais, Brazil. The Cerrado region, the newest of three major Brazilian growing regions, has been building in reputation and production over the last few decades. Coffee in this region is grown on high plateaus at elevations peaking just over 1,000 meters above sea level. The region also has relatively mild weather patterns providing a more predicable climate for processing coffee.  As the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  Our current offering is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,325 Bags,,,,,,,,,,,,,,,
Brazil Cerrado NY 2/3 SS FC 15/16,https://royalcoffee.com/product/3427097000052190928/,$6.87,$594.42,130.07 lb,Full Bag,Brazil,Altitude,850-1100 masl,Producers from the Cerrado Region,"Yellow Bourbon, Mundo Novo, and Obatã",Full natural and natural blended dried in the sun and mechanical driers,,"Brazil Cerrado NY 2/3 SS FC 15/16 is produced by farmers belonging to cooperatives in the Cerrado region within the state of Minas Gerais, Brazil. The Cerrado region, the newest of three major Brazilian growing regions, has been building in reputation and production over the last few decades. Coffee in this region is grown on high plateaus at elevations peaking just over 1,000 meters above sea level. The region also has relatively mild weather patterns providing a more predicable climate for processing coffee.  As the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  Our current offering is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,325 Bags,,,,,,,,,,,,,,,
Brazil Cerrado NY 2/3 SS FC 15/16,https://royalcoffee.com/product/3427097000052190931/,$6.87,$594.42,130.07 lb,Full Bag,Brazil,Altitude,850-1100 masl,Producers from the Cerrado Region,"Yellow Bourbon, Mundo Novo, and Obatã",Full natural and natural blended dried in the sun and mechanical driers,,"Brazil Cerrado NY 2/3 SS FC 15/16 is produced by farmers belonging to cooperatives in the Cerrado region within the state of Minas Gerais, Brazil. The Cerrado region, the newest of three major Brazilian growing regions, has been building in reputation and production over the last few decades. Coffee in this region is grown on high plateaus at elevations peaking just over 1,000 meters above sea level. The region also has relatively mild weather patterns providing a more predicable climate for processing coffee.  As the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  Our current offering is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,325 Bags,,,,,,,,,,,,,,,
Brazil Cerrado NY 2/3 SS FC 15/16,https://royalcoffee.com/product/3427097000052190785/,$6.87,$594.42,130.07 lb,Full Bag,Brazil,Altitude,850-1100 masl,Producers from the Cerrado Region,"Yellow Bourbon, Mundo Novo, and Obatã",Full natural and natural blended dried in the sun and mechanical driers,,"Brazil Cerrado NY 2/3 SS FC 15/16 is produced by farmers belonging to cooperatives in the Cerrado region within the state of Minas Gerais, Brazil. The Cerrado region, the newest of three major Brazilian growing regions, has been building in reputation and production over the last few decades. Coffee in this region is grown on high plateaus at elevations peaking just over 1,000 meters above sea level. The region also has relatively mild weather patterns providing a more predicable climate for processing coffee.  As the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  Our current offering is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,300 Bags,,,,,,,,,,,,,,,
Brazil Cerrado NY 2/3 SS FC 15/16,https://royalcoffee.com/product/3427097000052190943/,$6.87,$594.42,130.07 lb,Full Bag,Brazil,Altitude,850-1100 masl,Producers from the Cerrado Region,"Yellow Bourbon, Mundo Novo, and Obatã",Full natural and natural blended dried in the sun and mechanical driers,,"Brazil Cerrado NY 2/3 SS FC 15/16 is produced by farmers belonging to cooperatives in the Cerrado region within the state of Minas Gerais, Brazil. The Cerrado region, the newest of three major Brazilian growing regions, has been building in reputation and production over the last few decades. Coffee in this region is grown on high plateaus at elevations peaking just over 1,000 meters above sea level. The region also has relatively mild weather patterns providing a more predicable climate for processing coffee.  As the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  Our current offering is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,325 Bags,,,,,,,,,,,,,,,
Brazil Cerrado NY 2/3 SS FC 15/16,https://royalcoffee.com/product/3427097000052190946/,$6.87,$594.42,130.07 lb,Full Bag,Brazil,Altitude,850-1100 masl,Producers from the Cerrado Region,"Yellow Bourbon, Mundo Novo, and Obatã",Full natural and natural blended dried in the sun and mechanical driers,,"Brazil Cerrado NY 2/3 SS FC 15/16 is produced by farmers belonging to cooperatives in the Cerrado region within the state of Minas Gerais, Brazil. The Cerrado region, the newest of three major Brazilian growing regions, has been building in reputation and production over the last few decades. Coffee in this region is grown on high plateaus at elevations peaking just over 1,000 meters above sea level. The region also has relatively mild weather patterns providing a more predicable climate for processing coffee.  As the world's largest coffee producer, Brazilian lots often come from larger estates that use highly mechanized processing strategies to manage larger volumes.  Our current offering is Fine Cup (FC) and Strictly Soft (SS), the highest cup category in the Brazilian coffee grading.",Oakland,SPOT,Conventional,,325 Bags,,,,,,,,,,,,,,,
